"FARMACIA";"DENOMINAZI";"CHIAVE";"INDIRIZZO";"OMOGENEA";"QUARTIERE";"CIRCOSCRIZ";"TOOLTIP";"Latitudine";"Longitudine";
"31";"Dr. Lio Giuliano";"9458-169";"VIA UNITA' D'ITALIA 169,
37132 Verona";"S. Michele centro";"S. MICHELE";"SUD-EST";"31 Dr. Lio Giuliano";"45.4340368311375";"11.0419142776012";
"32";"Balanza Dr. Leopoldo";"9458-120";"VIA UNITA' D'ITALIA 120,
37132 Verona";"S. Michele centro";"S. MICHELE";"SUD-EST";"32 Balanza Dr. Leopoldo";"45.4337143593214";"11.042878364712";
"33";"S. Antonio";"3500-66";"VIA COL. GIOVANNI FINCATO 66,
37131 Verona";"Borgo Venezia - Centro";"BORGO VENEZIA";"EST";"33 S. Antonio";"45.4443998410882";"11.0190783881513";
"34";"S. Giuseppe";"8879-2";"VIALE SPOLVERINI 2,
37131 Verona";"Borgo Venezia - Centro";"BORGO VENEZIA";"EST";"34 S. Giuseppe";"45.4404668810146";"11.0190837041131";
"35";"S. Lucia";"4687-62";"VIA MANTOVANA 62,
37137 Verona";"S. Lucia - zona orig.";"S. LUCIA";"SUD-OVEST";"35 S. Lucia";"45.4219784830153";"10.9552695587989";
"36";"S. Teresa";"2118-13";"VIA CENTRO 13,
37135 Verona";"Tombetta";"BORGO ROMA";"SUD";"36 S. Teresa";"45.415022739578";"10.9900675634609";
"37";"Roma";"2118-53";"VIA CENTRO 53,
37135 Verona";"Tomba";"BORGO ROMA";"SUD";"37 Roma";"45.4112740756372";"10.9878993736992";
"38";"All' Albaro";"1230-10";"PIAZZALE BUCCARI 10,
37141 Verona";"Montorio - Centro";"MONTORIO";"NORD-EST";"38 All' Albaro";"45.4578002581953";"11.0628147570196";
"39";"Bellamoli Dr. Sandro";"6363-99";"VIA POIANO 99,
37142 Verona";"Poiano";"QUINTO";"NORD-EST";"39 Bellamoli Dr. Sandro";"45.4723108555528";"11.0154001245331";
"40";"Dei Santi";"629-59";"VIA BELFIORE 59,
37135 Verona";"Ca` di David - Centro";"CA' DI DAVID";"SUD";"40 Dei Santi";"45.3823585592679";"10.995278522618";
"41";"Soprana Dr.ssa Alessandra";"8941-6";"LARGO STAZIONE VECCHIA 6,
37124 Verona";"Parona";"PARONA";"NORD-OVEST";"41 Soprana Dr.ssa Alessandra";"45.4776452081876";"10.9475459725057";
"42";"La Mia Farmacia";"5546-53";"VIA GIOVANNA MURARI BRA' 53,
37136 Verona";"Golosine - Nord";"GOLOSINE";"SUD-OVEST";"42 La Mia Farmacia";"45.421074037691";"10.9764630240141";
"43";"Ceccherelli Dr.";"6313-51A";"VIA ANTONIO PISANO 51A,
37131 Verona";"Borgo Venezia - Centro";"BORGO VENEZIA";"EST";"43 Ceccherelli Dr.";"45.4402894991225";"11.0261821031573";
"44";"Borgo Antico - Pallaro (Avesa)";"407-1";"PIAZZA AVESA 1,
37127 Verona";"Avesa - Centro";"AVESA";"NORD-OVEST";"44 Borgo Antico - Pallaro (Avesa)";"45.468971087999";"10.9886072744764";
"45";"Comunale San Massimo";"7144-16";"VIA BENIAMINO ROMAGNOLI 16,
37139 Verona";"S. Massimo - Centro";"S. MASSIMO";"OVEST";"45 Comunale San Massimo";"45.4390587321481";"10.9455387374455";
"46";"Marchiori Dr. Enzo";"9757-28";"VIA VILLA COZZA 28,
37131 Verona";"S. Croce";"BORGO VENEZIA";"EST";"46 Marchiori Dr. Enzo";"45.4488952940086";"11.0229427306098";
